,ACCLASS,AG_DRIV,ALCOHOL,AUTOMOBILE,CYCLIST,DATE,DISABILITY,EMERG_VEH,HOOD_ID,HOUR,INITDIR,INVAGE,LIGHT,LOCCOORD,MANOEUVER,MOTORCYCLE,PASSENGER,PEDESTRIAN,RDSFCOND,REDLIGHT,ROAD_CLASS,SPEEDING,TRAFFCTL,TRSN_CITY_VEH,TRUCK,VISIBILITY
288,0,0,0,0,0,7,0,0,77,13,2,6,4,3,2,0,0,1,0,0,4,0,2,1,0,0
291,0,1,0,1,1,7,0,0,84,9,2,2,4,3,2,0,0,0,0,1,5,1,2,0,0,0
294,0,0,0,0,0,7,0,0,11,13,0,5,4,4,2,0,0,1,0,0,4,0,1,1,0,0
297,0,0,0,1,0,7,0,0,102,16,2,5,4,3,2,0,1,0,0,0,4,0,2,0,0,0
298,0,0,0,1,0,7,0,0,102,16,1,9,4,3,13,0,1,0,0,0,4,0,2,0,0,0
301,0,0,0,1,0,7,1,0,56,12,2,7,4,4,7,0,1,0,0,0,4,0,1,0,0,0
302,0,0,0,1,0,7,1,0,56,12,2,11,4,4,0,0,1,0,0,0,4,0,1,0,0,0
303,0,1,0,1,0,7,0,0,77,19,1,3,4,3,2,1,0,0,0,0,4,1,2,0,0,0
304,0,1,0,1,0,7,0,0,77,19,3,9,4,3,2,1,0,0,0,0,4,1,2,0,0,0
306,0,1,0,1,0,7,0,0,40,10,2,6,4,3,12,0,1,0,0,0,4,0,2,0,0,0
308,0,1,0,1,0,7,0,0,40,10,2,8,4,3,12,0,1,0,0,0,4,0,2,0,0,0
311,0,1,0,1,0,2,0,0,126,9,1,8,4,3,13,0,0,1,8,0,4,0,2,0,0,5
312,0,0,0,1,0,2,0,0,125,8,2,6,4,4,2,0,1,0,0,0,4,0,1,0,0,0
314,0,0,0,1,0,4,0,0,1,18,1,3,0,4,2,0,0,1,8,0,4,0,1,0,0,5
315,0,1,1,1,0,1,0,0,60,2,1,9,0,3,2,0,1,0,8,0,4,1,1,0,0,0
317,0,0,0,1,0,2,0,0,89,13,2,8,4,4,2,0,0,1,0,0,4,0,2,0,0,0
319,0,1,0,1,0,2,0,0,88,7,3,4,4,3,14,0,0,1,0,0,5,0,2,0,0,0
321,0,0,0,1,0,2,0,0,1,15,1,8,4,3,13,0,0,1,0,0,4,0,2,0,0,0
323,0,0,0,1,1,2,0,0,45,18,1,11,0,3,13,0,0,0,0,0,0,0,1,0,0,0
326,0,0,0,1,0,2,0,0,125,8,2,3,4,4,2,0,1,0,0,0,4,0,1,0,0,0
328,0,0,0,1,0,2,0,0,125,8,2,3,4,4,2,0,1,0,0,0,4,0,1,0,0,0
329,0,0,0,1,0,2,0,0,125,8,1,4,4,4,2,0,1,0,0,0,4,0,1,0,0,0
331,0,1,0,1,0,2,0,0,66,8,2,8,4,3,2,0,0,0,0,0,4,1,1,0,0,0
333,0,1,0,1,0,2,0,0,66,8,2,7,4,3,2,0,0,0,0,0,4,1,1,0,0,0
338,0,1,0,1,0,2,0,0,54,9,2,12,4,3,13,0,0,1,0,0,3,0,2,0,0,0
340,0,1,0,1,0,2,0,0,110,5,0,6,0,3,12,0,0,0,0,1,4,1,2,0,0,0
341,0,1,0,1,0,2,0,0,110,5,0,6,0,3,12,0,0,0,0,1,4,1,2,0,0,0
342,0,1,0,1,0,2,0,0,110,5,2,9,0,3,2,0,0,0,0,1,4,1,2,0,0,0
343,0,1,0,1,0,2,0,0,110,5,0,5,0,3,12,0,0,0,0,1,4,1,2,0,0,0
344,0,1,0,1,0,2,0,0,110,5,3,3,0,3,2,0,0,0,0,1,4,1,2,0,0,0
348,1,1,0,0,0,2,0,0,59,9,0,8,4,3,13,0,0,1,0,0,3,0,2,0,0,0
349,0,1,0,1,0,2,0,0,5,6,1,6,4,4,2,0,0,0,6,0,4,1,1,0,0,6
352,0,1,0,1,0,2,0,0,93,21,2,8,0,4,5,0,0,1,8,0,5,0,1,0,0,5
354,0,0,0,1,0,2,0,0,56,15,3,7,4,3,2,0,0,1,0,0,4,0,2,0,0,0
357,0,1,0,1,0,2,0,0,85,6,3,5,0,3,2,0,1,0,0,0,4,1,1,0,0,0
360,1,0,0,1,0,2,0,0,132,18,1,6,6,4,2,0,0,1,0,0,5,0,1,0,0,0
362,0,1,0,1,0,2,0,0,38,18,3,9,0,3,13,0,0,1,0,0,4,0,2,0,0,0
365,0,1,0,1,0,2,0,0,12,7,2,2,4,3,13,0,0,0,0,1,4,0,2,0,0,0
367,0,1,0,1,0,2,0,0,12,7,3,3,4,3,2,0,0,0,0,1,4,0,2,0,0,0
369,0,1,0,1,0,2,0,0,101,13,3,6,4,3,2,0,0,1,0,0,4,0,2,0,0,0
371,0,0,0,1,0,2,0,0,11,8,3,5,4,3,2,0,0,1,0,0,4,0,2,0,0,0
374,0,1,0,1,0,2,0,0,95,15,3,8,4,3,13,0,0,1,0,0,4,0,2,0,0,0
378,0,1,0,1,0,2,0,0,83,1,1,2,0,4,2,0,1,0,8,0,5,1,1,0,0,6
386,0,1,0,1,0,2,0,0,73,4,0,1,0,4,2,0,1,0,3,0,4,1,1,0,0,0
388,1,1,0,1,0,2,0,0,1,5,1,3,0,4,2,0,0,1,0,0,4,1,1,0,0,0
390,0,1,0,1,0,2,0,0,70,17,3,4,4,3,2,0,0,1,0,0,5,0,2,0,0,0
393,0,0,0,1,1,3,0,0,57,11,3,5,4,4,7,0,0,0,0,0,5,0,1,0,0,0
394,0,1,0,0,1,2,0,0,136,19,2,5,0,3,14,0,0,0,8,0,4,0,2,1,0,0
396,0,0,0,1,0,2,0,0,11,17,1,9,0,4,2,0,0,0,0,0,4,0,1,0,0,0
403,0,0,0,1,0,3,0,0,87,18,0,4,7,4,13,0,0,1,0,0,5,0,1,0,0,0
407,1,0,1,1,0,3,0,0,17,22,3,5,0,4,6,0,1,0,0,0,4,0,1,0,0,0
408,1,0,1,1,0,3,0,0,17,22,3,3,0,4,2,0,1,0,0,0,4,0,1,0,0,0
409,1,0,1,1,0,3,0,0,17,22,3,6,0,4,2,0,1,0,0,0,4,0,1,0,0,0
415,1,0,0,1,0,3,0,0,17,20,0,4,0,4,2,0,1,0,0,0,4,0,1,0,0,0
416,0,1,0,1,0,7,0,0,40,10,2,8,4,3,2,0,1,0,0,0,4,0,2,0,0,0
420,0,1,0,1,0,8,0,0,44,17,0,7,4,4,2,0,1,0,0,0,0,0,1,0,0,0
425,0,0,1,1,0,6,0,0,102,1,1,2,0,4,2,0,1,0,0,0,4,0,1,0,0,0
427,1,1,0,1,0,6,0,0,83,19,1,7,4,3,13,0,0,1,0,0,4,0,2,0,0,0
430,0,0,0,0,0,6,0,0,78,15,2,5,4,4,2,0,0,1,0,0,4,0,1,1,0,0
436,0,0,0,1,0,6,1,0,132,8,1,9,4,4,2,0,1,0,0,0,4,0,1,0,1,0
437,0,0,0,1,0,6,1,0,132,8,2,6,4,4,2,0,1,0,0,0,4,0,1,0,1,0
438,0,1,0,1,0,6,0,0,21,21,1,7,0,3,0,0,0,0,0,0,4,1,2,0,0,0
439,0,1,0,1,0,6,0,0,21,21,3,7,0,3,2,0,0,0,0,0,4,1,2,0,0,0
440,0,1,0,1,0,6,0,0,21,21,1,6,0,3,2,0,0,0,0,0,4,1,2,0,0,0
443,0,0,0,1,0,6,0,0,17,15,3,10,4,3,2,0,1,0,0,0,4,0,2,0,0,0
444,0,0,0,1,0,6,0,0,17,15,0,6,4,3,13,0,1,0,0,0,4,0,2,0,0,0
445,0,0,0,0,0,6,0,0,73,23,0,8,0,4,0,1,0,0,8,0,4,0,1,0,0,5
447,0,1,0,1,0,6,0,0,135,17,3,3,0,4,10,0,0,1,0,0,3,0,1,0,0,0
450,1,1,0,1,0,6,0,0,127,9,2,13,4,4,2,0,1,0,0,0,4,0,1,0,0,0
452,0,0,0,0,1,6,0,0,93,16,2,10,4,3,2,0,0,0,0,0,4,0,2,1,0,0
455,0,0,0,0,0,6,0,0,30,19,0,3,4,4,2,1,0,0,0,0,3,0,1,0,0,0
456,0,1,0,1,0,6,0,0,85,8,3,6,4,3,2,0,1,0,0,0,4,0,2,0,0,0
461,0,1,0,1,0,6,0,0,85,8,2,6,4,3,2,0,1,0,0,0,4,0,2,0,0,0
462,0,1,0,1,0,6,0,0,1,21,1,4,0,3,13,0,0,1,0,0,4,1,2,0,0,0
464,0,1,0,1,0,6,0,0,77,5,3,9,4,3,2,0,0,0,0,1,4,0,2,0,0,0
466,0,1,0,1,0,6,0,0,77,5,1,5,4,3,2,0,0,0,0,1,4,0,2,0,0,0
467,0,0,0,1,0,6,0,0,1,14,2,3,4,3,2,0,0,1,0,0,4,0,2,0,0,0
469,0,1,0,1,0,6,0,0,104,9,2,11,4,3,13,0,0,1,0,0,4,0,2,0,0,0
471,0,1,0,1,0,6,0,0,77,1,1,2,0,3,2,0,1,0,0,1,4,0,2,0,0,0
473,0,1,0,1,0,6,0,0,77,1,3,3,0,3,13,0,1,0,0,1,4,0,2,0,0,0
474,0,0,0,1,1,6,0,0,73,13,0,8,4,3,2,0,0,0,0,0,5,0,1,0,0,0
477,0,0,0,1,0,6,0,0,51,17,0,5,4,4,2,0,0,1,0,0,4,0,1,0,0,0
479,0,1,1,1,1,6,0,0,62,2,2,2,0,3,13,0,0,0,0,0,4,0,2,0,0,0
482,0,1,0,1,1,6,0,0,95,21,0,7,7,4,6,0,0,0,0,0,4,0,1,0,0,0
485,0,1,0,1,1,6,0,0,120,22,1,5,0,3,14,0,0,0,0,1,4,0,2,0,0,0
488,0,0,0,1,0,6,0,0,1,23,3,4,0,4,0,0,0,0,0,0,4,0,1,0,0,0
492,1,0,0,0,0,6,0,0,18,12,3,6,4,3,2,0,0,1,0,0,4,0,2,1,0,0
493,0,0,0,1,0,6,0,0,33,17,1,8,4,3,14,0,0,1,0,0,4,0,2,0,0,0
495,0,1,1,1,0,6,0,0,101,20,3,4,0,4,6,0,0,0,0,0,4,1,2,0,0,0
496,0,1,1,1,0,6,0,0,101,20,0,5,0,4,2,0,0,0,0,0,4,1,2,0,0,0
498,0,1,1,1,0,6,0,0,101,20,0,11,0,4,2,0,0,0,0,0,4,1,2,0,0,0
501,1,1,0,1,0,6,0,0,43,20,3,4,0,3,2,1,1,0,0,0,0,1,2,0,0,0
511,0,0,0,1,0,6,0,0,76,22,1,3,0,4,2,0,0,1,0,0,4,0,1,0,0,0
514,0,0,0,1,1,6,0,0,86,3,0,7,0,3,2,0,0,0,0,0,4,0,2,0,0,0
516,0,0,0,1,0,6,0,0,18,18,1,2,4,4,2,0,0,0,0,0,4,0,1,0,0,0
518,0,0,0,1,1,6,0,0,59,12,2,12,4,3,14,0,0,0,0,0,4,0,1,0,0,0
520,0,1,0,0,0,6,0,0,77,17,0,6,4,3,2,1,1,0,0,0,4,1,2,0,0,0
521,0,0,0,1,0,6,0,0,10,20,0,1,6,4,2,0,1,0,0,0,3,0,1,0,0,0
522,0,1,0,1,0,7,0,0,40,10,2,7,4,3,12,0,1,0,0,0,4,0,2,0,0,0
524,1,1,0,1,0,7,0,0,93,22,2,2,0,3,14,0,0,1,0,0,4,0,2,0,0,0
529,0,1,0,1,0,8,0,0,44,17,0,5,4,4,13,0,1,0,0,0,0,0,1,0,0,0
532,0,0,0,1,0,8,0,0,86,10,1,10,4,3,14,0,1,1,0,0,4,0,2,0,0,0
533,1,0,0,1,0,4,0,0,75,20,1,9,0,3,2,0,0,1,0,0,4,0,1,0,0,0
536,0,0,0,1,0,7,0,0,10,16,0,6,4,4,2,1,0,0,8,0,4,0,1,0,0,5
